repository	stratum	commit	path	status	reason	bytes	sha256	extension	language	line_count	token_count	identifier_count	vocabulary_size	comment_line_count	import_count	declaration_count	test_marker_line_count	error_handling_line_count	parse_status	parse_node_count	parse_error
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/sound.md	included		3763	4301e7ad6169820e7d19c9491dfa07f3d41ed9d32f64bb9e3aca2988534b6c64	.md	markdown	53	610	610	285	6	na	na	11	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/tg-roz.md	included		1712	5cc625cdfbe11c384e95822d4f7e25c975d2054c51c480f9a94723a1bd8ffaef	.md	markdown	28	270	270	151	5	na	na	2	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/tg.md	included		768	6f67aa1c5356170fcb826453c5108e1b7d17e368dea2797c3b1b89142ab8e260	.md	markdown	13	104	104	65	2	na	na	2	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/vpn.md	included		2211	1d1288888eaed9e3080f0bf5af954ebda551a41365da814f19d2b28dbc4f3465	.md	markdown	33	368	368	199	5	na	na	1	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/wake.md	included		2256	85356cccebbe5417418eb35c841bd750b24a4077a66db8f9e14fec927a78671e	.md	markdown	34	369	369	195	5	na	na	6	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	charter/witness.md	included		2312	523d64d6de16b89f1ec625c544986e705da14d5701f7d6ae581b3b13f639e3a2	.md	markdown	32	347	347	195	2	na	na	4	0	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	dark.jpg	excluded	unsupported-extension	na	na	.jpg	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	dim.jpg	excluded	unsupported-extension	na	na	.jpg	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/a-budget-is-a-refusal-not-a-report-2026-08-21.md	included		8103	23dc825491ce21ebdcd9c98c654103db0a50cd5592289316ea93f99c2b63cde1	.md	markdown	112	1279	1279	507	13	na	na	25	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/a-commit-message-that-does-not-describe-its-commit-2026-08-21.md	included		4493	0fd9b7dc4d454064f676d0b8e092cd2730c383198a50863393f86f3fcdc18221	.md	markdown	81	722	722	320	9	na	na	15	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/a-dead-you-have-not-seen-reproduce-is-not-a-death-2026-08-21.md	included		7313	8d45849fc211931e0c6e7bf9770bb5324ea370d35934629412ac764611f955e3	.md	markdown	112	1199	1199	426	13	na	na	8	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/a-stored-decay-verdict-outlives-the-fix-that-refutes-it-2026-08-21.md	included		6884	ea300ac2efd755ed348c81a3b5fa700c3be80b4a25e2514b32a5cf499d9e9958	.md	markdown	127	1050	1050	401	12	na	na	28	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/attribution.md	included		6302	d21708c82433b69b0a97e0a591e31c85b971979964bf30753c6fc4d8ba85be90	.md	markdown	91	1015	1015	395	10	na	na	16	0	na	na	
lte-workstation	na	e8f47364e5a0f224c1bd03331df592272a187df5	docs/board.png	excluded	unsupported-extension	na	na	.png	na	na	na	na	na	na	na	na	na	na	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/body.md	included		12164	eeadd4f35568c76624a84099dc39a5f17c659f84bdeb305773aaf4ceef743361	.md	markdown	224	1734	1734	673	25	na	na	13	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/codex-migration.md	included		5888	45f65abcc69fcf94d6bc52efd1353f2a697ca87a1c170e67d4b9e9cf86d75c0a	.md	markdown	93	884	884	436	7	na	na	8	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/consent.md	included		4340	a04340bd8f9f3cc176057fccfcdc0226d00b69291a90ff655fe3115fb6fc51aa	.md	markdown	83	622	622	261	8	na	na	2	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/coordination-wire-mood-pool-20260907.md	included		3831	5a26d8ff91b3e67a5d129476d317e24efc97badbc7112a13d1d9945977a0fec4	.md	markdown	95	477	477	186	5	na	na	5	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/coordination.md	included		7146	cacb058fd941a58be65e74507368b3102722f4b38c37f085c8c53310ebd92cd2	.md	markdown	111	1103	1103	472	11	na	na	13	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/correlation-investigation-body-motion-still-presence-many-spurious-2026-09-07.md	included		2685	3769b89d52c2f6d31e620c5b6945777eaefbcc8172581493462519321862fdb7	.md	markdown	48	362	362	201	6	na	na	2	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/correlation-investigation-body-power-charging-ambient-quiet-spurious-2026-08-20.md	included		7158	637666054c64ce4d4181452296040dabd88a56aad10657da04480d3ebcf2bc2a	.md	markdown	125	971	971	367	16	na	na	15	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/correlation-investigation-desk-near-imac-presence-many-spurious-2026-09-07.md	included		3068	a2fe3f434703854113b390b5fa36334807fd5a49c9a70f98104229510c8a6dff	.md	markdown	54	449	449	216	7	na	na	1	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/correlation-investigation-home-state-asleep-ambient-data-stale-spurious-2026-09-07.md	included		299	90c8666379f35ed24463953f85e91e0c4d8191a8a17bd81a9155d2f391a3ae4d	.md	markdown	5	36	36	23	1	na	na	0	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/correlation-investigation-light-moderate-psi-busy-spurious-2026-09-06.md	included		2889	4671df6aadd970392ec7886ab96d7e04bab9a4ca11e3092ebd9e1f422030752c	.md	markdown	54	417	417	238	5	na	na	4	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/correlation-investigation-room-activity-quiet-desk-away-spurious-2026-08-18.md	included		7328	b9790420479cb2c5587f1f7a2df98217dd1c0483a4e29331b134c8204bc3ab88	.md	markdown	118	1023	1023	416	12	na	na	11	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/correlation-investigation-tempo-dark-bustle-desk-away-spurious-2026-09-07.md	included		2685	03f99cdbfa805c5b036eb0198065b5e5339d35bdf08bfc4e228d0a1b333f896b	.md	markdown	53	376	376	199	6	na	na	2	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/correlation-investigation-tempo-silent-psi-stalled-2026-09-07.md	included		2626	6ce2a6380e38dc5a9ce6e547bdd752fc62fe940e650092f84e531069b24e5fc0	.md	markdown	53	368	368	225	6	na	na	1	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/design-board-tag-schema-2026-07-24.md	included		7646	19a2d251331b03697c40920bf615cc443f3d76912d35b9effa9d1fdbe46de579	.md	markdown	105	1019	1019	414	8	na	na	5	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/design-hledger-coordination-2026-07-24.md	included		12951	b9f8a5a71a24759456fbf4712fd866e273c97fa961504b373dd5d584beaab329	.md	markdown	163	1886	1886	677	15	na	na	16	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-a-hold-is-not-a-heal-draft.md	included		16820	113ec2d6ac1052093058910cd02b9434114e3e05d165de261765d41a27fc9c9b	.md	markdown	317	2715	2715	847	23	na	na	54	3	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-agreement-is-your-prior-draft.md	included		19215	6fed028409909f716c8be72df08c810a643f42fe943fc6f57031feb4b91fab54	.md	markdown	303	3049	3049	681	9	na	na	48	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-auth-boundary-draft.md	included		9504	857e324f9235171a8da5a936fd093995b4de14f6b74ca9cf6ba8656539d0711b	.md	markdown	182	1657	1657	576	8	na	na	46	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-autostash-replay-draft.md	included		10403	2f0bfab47505cf84774304c38689e7334efaef43fedf8b413313cc5ec462cf7f	.md	markdown	269	1802	1802	610	14	na	na	33	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-baseline-after-the-event-draft.md	included		9902	662e0541bb2a16da2c9944bd9a75300d251bfb96808b4659ee809a12bdf9e7bf	.md	markdown	201	1533	1533	521	15	na	na	30	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-broken-pipe-was-the-safety-rail-draft.md	included		7881	c4944ee6a2e997873acb1d2b120d355a79321306e43deeed2109bd7816936d39	.md	markdown	157	1364	1364	492	11	na	na	40	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-default-branch-votes-healthy-draft.md	included		8227	400b9d14e206d224c10c1144a265b7c96093e9ef91c1d23f833b600324f956de	.md	markdown	164	1393	1393	494	11	na	na	30	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-fault-model-is-not-a-flag-draft.md	included		11048	187675def6d8d48ec6d5c6e9193dd1ec6067986b256d002dedaac155a443072e	.md	markdown	214	1837	1837	593	12	na	na	34	2	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-format-duration-draft.md	included		12206	f1a86ab8e86b5f23bba2b972c9575f701589ef7103ff49fb95a3493d1293188d	.md	markdown	251	2031	2031	643	23	na	na	31	2	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-gpu-ledger-draft.md	included		16621	b47d372fd49a69ad6bc7d8432dad48ffe0ad3ec41edcabef6430ce940b50ae8d	.md	markdown	335	2681	2681	751	15	na	na	49	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-green-reflex-placement-draft.md	included		19403	83f0572e02bb17f9d09d698aca87e4054ee459d3295dcb5beba3ffa668d90aff	.md	markdown	388	3263	3263	929	16	na	na	77	2	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-head-slice-draft.md	included		11914	6951fb86592d84a0765d5b6f5056687adb46c098dcaed30e165e74e3f5896b6f	.md	markdown	221	1948	1948	632	15	na	na	46	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-hledger-coordination-draft.md	included		11278	b6912e616e7d1c39f956f3dde4ff0ed50b0b4fedde497101b6d166b370635817	.md	markdown	211	1826	1826	665	15	na	na	40	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-honest-coverage-same-blind-spot-draft.md	included		10729	921a317b0ca1252ff48e09212134c7fa717682abd97f817f60507aca524d9f97	.md	markdown	199	1843	1843	591	11	na	na	49	3	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-how-i-publish-draft.md	included		8239	cd36e484dd4d83717fb6a52611756f38a550a92adcfede086317448b15d72d77	.md	markdown	126	1342	1342	522	5	na	na	20	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-log-this-once-draft.md	included		15423	98e29d924d6c2ada7bb2b648054ab07606fe4f49bc1852f47e9c06e0f24fc31f	.md	markdown	282	2571	2571	685	16	na	na	52	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-mtime-draft.md	included		17829	8f839cb8f7f11119d5eb316b0ff4806d8659b8338db5e9728214004479a420ec	.md	markdown	314	3036	3036	846	16	na	na	70	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-path-stub-does-not-survive-sudo-draft.md	included		7085	49fbc72f65759023198e473c697f5ab973db68abb9522ecc80c120bc7ad42b08	.md	markdown	167	1189	1189	440	8	na	na	34	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-poller-episode-census-draft.md	included		16805	58b225002adbc2df0a1919b4006d96e60b6150da9c25148eaae1804a91694be0	.md	markdown	314	2655	2655	766	10	na	na	58	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-read-stops-at-newline-draft.md	included		9551	d478bff59d21c101480aed453845016eee1443a7aa2a4ba7b3886d466510b778	.md	markdown	196	1595	1595	577	14	na	na	38	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-reading-is-available-draft.md	included		23483	7f50b287977364a3249463701d2cda9bc0749b6f4499c90eb37842c061f9ddfb	.md	markdown	344	3806	3806	1137	27	na	na	71	2	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-redaction-placeholder-key-draft.md	included		13528	219b0cba247533181a97324a7bb693ae4610d3b81cded2220312766d23316698	.md	markdown	246	2144	2144	671	14	na	na	36	4	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-self-nullifying-draft.md	included		19996	5e8a365d760d9ad9b63a857df3c352645cd74f60ab63fc3bdc2b78bd39327fcf	.md	markdown	389	3518	3518	925	13	na	na	88	5	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-sign-your-synthetic-failures-draft.md	included		7802	cc33c9aee560122745ed3d83c2e967801b12440614fc79df179764abd8696774	.md	markdown	164	1269	1269	501	15	na	na	23	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-single-big-jump-backlog-draft.md	included		11288	7ae4e970ea3c95e7c9618ac1985c04aa28a1c75ddbf484190f6fd77ee1203b04	.md	markdown	239	1951	1951	579	10	na	na	48	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-success-message-not-keyed-on-the-failure-draft.md	included		12298	69e3c5228ef9f603799f0df4351ded424c5b54ec6ecf4f66f1b9c159325a4dac	.md	markdown	259	2048	2048	669	23	na	na	43	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-tab-is-whitespace-draft.md	included		8347	3f164c99d59bc7e1baabb21adac6f66b8410b761d490c97fd533c93fed364c96	.md	markdown	191	1398	1398	491	10	na	na	32	2	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-thresholds-do-not-survive-an-input-swap-draft.md	included		11940	2283096f95f13f4d503246a3ec3c011423bfe264d3f8460848d959889f9a1bed	.md	markdown	216	1979	1979	614	8	na	na	32	2	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-uxn-fixed-points-draft.md	included		8010	16e009ae48a03a2817a035626a3080333a361bcaf81e50692638393b67e3d1d2	.md	markdown	170	1297	1297	502	10	na	na	25	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-vacuous-pass-draft.md	included		17280	d0cb2a9ce3c0f33fcc6a5c65afb6f9dbb0f96c337ce467a6c34e872459532490	.md	markdown	376	3001	3001	835	21	na	na	82	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-wait-fraction-inverts-draft.md	included		11914	9959016a79111ecfcca77a2af9ba62d25749cd19c0e18087c5d6cdbc3ec8bb27	.md	markdown	245	1848	1848	615	18	na	na	23	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/devto-where-the-tail-starts-draft.md	included		12466	dc9f287f985632482c9cfcf0056abd1af2534c13cf2486cf2f38463e02395a23	.md	markdown	239	1890	1890	640	13	na	na	38	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/distributed-embodied-agent.md	included		29194	bfe6ccdc9e66fc21818b083fc75eecd4ec5c04503bb68f26b4eda9453d5eb13e	.md	markdown	287	4450	4450	1136	39	na	na	50	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/docker-node-join.md	included		5495	01e446d4807992de9f7e23a407800e07ea66b3c2216b31882f6299377a1759fe	.md	markdown	155	828	828	265	28	na	na	8	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/epistemics.md	included		13535	8b2ad359fb13a1c5e800a96e20bf20e9ceab309f85f027b504d73101b4938356	.md	markdown	189	2085	2085	821	25	na	na	34	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/eternity-and-its-fields.md	included		3995	439d9d6ec264073bf43bf77a0e173d5b7c1babaeada1cf90dd8c7cb72c074a7d	.md	markdown	44	517	517	316	5	na	na	5	0	na	na	
lte-workstation	tsv	e8f47364e5a0f224c1bd03331df592272a187df5	docs/fixtures/operator-hands-labels.tsv	included		6830	e2c4ace098f5d1091935bb4182063e2e4ef46ae2d4822bd1dda9ee985f02cf45	.tsv	tsv	59	786	786	380	34	na	na	11	0	na	na	
lte-workstation	text	e8f47364e5a0f224c1bd03331df592272a187df5	docs/fixtures/stt-ru-operator-0812.txt	included		2310	e28be2e9445702064d10921792eaaae3af8cfee108cdd4a2188aa5df1e55f376	.txt	text	40	330	330	169	0	na	na	5	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/genome-audit.md	included		5377	02e29ac9024dd08562ab5edd101b8c232f0eeb19dd64dd0be70e021952ff42d0	.md	markdown	75	705	705	309	7	na	na	7	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/hardening-truncation-safe.md	included		2617	2ca63c1f9dc0b864186e2f13cf83b100bece43248aa9e70eb520e64777979378	.md	markdown	78	356	356	180	13	na	na	6	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/historical-ask-adfox-research-design-20260906.md	included		803	bcee9123dd93380cec3dba6d2103f19898e7a96635ae72e842d50dddb7896082	.md	markdown	14	115	115	88	1	na	na	0	0	na	na	
lte-workstation	tsv	e8f47364e5a0f224c1bd03331df592272a187df5	docs/historical-ask-decisions-20260906.tsv	included		62840	d8a9eff2fffb0c28ca9f76ef71b13c975619b140b091e3a419987ee80598fb78	.tsv	tsv	192	8759	8759	280	1	na	na	0	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/historical-ask-record-button-design-20260906.md	included		1081	06cab8650273ee1a895a3783d622b6821ea8d2743549b1141d9246dfedc453bc	.md	markdown	20	156	156	89	1	na	na	2	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/labour-audit-trigger-vs-cron-2026-07-24.md	included		3683	0d5e508a902297b830ab78efe33656cfd50f6a30702d5c43e528b037b7119a32	.md	markdown	65	529	529	227	7	na	na	2	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/latency-is-not-a-media-sense-storage-health-2026-08-21.md	included		6977	6cb81a3ae7c9f7959fd57a611f06db13cef7913a0e1282bc1ecbd01373f5a7b5	.md	markdown	119	1045	1045	432	8	na	na	14	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/leadlag-holdout-2026-08-20.md	included		6049	d2da35a773034910d34c9119d438c216b5a9cc9ada0415e86709fc550aa39d67	.md	markdown	128	868	868	366	15	na	na	15	1	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/lit-review-stigmergy-watchtower-2026-08-28.md	included		8879	a55388ee2bcaf4bf778d52fe0e8cbe4ae69bfeddbcb25257398583b97d767ea5	.md	markdown	142	1330	1330	582	17	na	na	22	0	na	na	
lte-workstation	json	e8f47364e5a0f224c1bd03331df592272a187df5	docs/local-llama-vision-fixture.json	included		426	7f166e7293be1b7ba3954cb7fe9976b891dd5a91d89007c0604b9531b0c03c7e	.json	json	8	44	44	37	0	na	na	1	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/measuring-clear-cost.md	included		6147	5214921da0ebafebf08e03bd29d95d9b7451397185ea0b1c54770fc2ce8f2c18	.md	markdown	112	968	968	398	10	na	na	17	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/mesh-architecture.md	included		32937	8395e47ff59d6a69519188bfbacbf80d12a8ad92a1252ee4939eb9e5f2c5717a	.md	markdown	567	4945	4945	1437	53	na	na	60	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/mesh-basics.md	included		5528	279c2cd85d6873457e3dba55d85e32a1dca36f59587136e05cd08248112e2edf	.md	markdown	106	886	886	334	9	na	na	19	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/mesh-deleuze-essay-ru.md	included		15926	04c9193768566609acb873011160b3afdc2fc055071b996bc45224e7f8533743	.md	markdown	128	5	5	5	14	na	na	0	0	na	na	
lte-workstation	markdown	e8f47364e5a0f224c1bd03331df592272a187df5	docs/mesh-nudge-integration.md	included		5694	8aca4821e2f9813923d2e4874a11cddd3e3fc4ce8a4e98bcdea02a507eb7e537	.md	markdown	161	789	789	309	32	na	na	10	0	na	na	
